CALQ_0,CALQ_1,CALQ_2,CALQ_3,CALQ_4,CALQ_5,CALQ_6,CALQ_7,CALQ_8,CALQ_9,CALQ_10,CALQ_11,CALQ_12,CALQ_13,CALQ_14,CALQ_15,CALQ_16,CALQ_17,CALQ_18,CALQ_19,CALQ_20,CALQ_21,CALQ_22,CALQ_23,CALQ_24,CALQ_25,CALQ_26,CALQ_27,CALQ_28,CALQ_29,CALQ_30,CALQ_31,CALQ_32,CALQ_33,CALQ_34,CALQ_35,CALQ_36,CALQ_37,CALQ_38,CALQ_39,CALQ_40,CALQ_41,CALQ_42,CALQ_43,CALQ_44,CALQ_45,CALQ_46,CALQ_47
136,76,0,32,59,17,41,11,134,41,432,0,13,0,40,14,3,36,29,75,3,51,42,67,133,19,30,160,85,4,52,36,15,0,6,21,3,6,31,60,0,0,50,21,0,5,0,3
32,5,30,18,9,9,55,0,0,81,45,12,32,25,13,20,36,32,0,61,4,269,41,7,30,108,7,0,26,31,4,44,18,21,32,40,0,31,21,0,14,0,55,30,0,22,44,80
52,48,25,76,0,10,62,153,0,0,0,30,0,13,4,30,0,6,42,129,40,78,16,10,89,184,50,54,26,0,19,62,20,74,42,6,5,24,22,49,0,32,0,76,12,3,13,21
257,9,137,206,35,42,68,83,186,181,75,45,6,23,22,15,0,0,33,91,41,43,13,88,7,26,113,110,18,32,46,130,0,0,0,5,0,102,88,12,0,7,24,0,5,14,14,0
24,38,202,4,3,49,0,126,19,24,0,6,133,85,0,20,43,0,0,27,18,14,13,40,81,0,29,0,37,6,7,0,22,15,154,7,158,0,3,0,41,13,14,0,19,29,0,119
26,43,261,21,10,62,58,12,199,61,333,4,0,22,56,47,18,15,0,6,14,5,26,4,3,12,16,82,219,59,62,65,4,4,25,10,42,104,47,19,15,78,27,87,31,74,21,0
4,13,0,0,109,10,12,31,254,48,7,0,6,62,188,40,16,32,0,7,65,13,11,0,49,16,0,44,10,34,24,16,10,8,12,0,0,4,0,3,38,242,9,10,55,0,0,0
35,0,10,13,0,0,28,0,14,8,22,42,0,12,128,3,13,49,14,59,0,45,244,0,20,98,7,0,25,24,0,46,95,46,0,15,49,41,18,10,51,16,51,0,13,25,5,0
39,166,164,0,14,182,202,31,22,77,35,192,7,231,6,18,52,50,37,0,49,165,37,24,0,6,16,67,0,8,9,0,47,174,90,24,432,79,29,42,0,186,72,14,14,0,19,192
7,29,29,18,16,0,30,118,4,32,13,14,69,165,23,25,25,108,65,17,125,12,16,7,152,5,15,48,90,63,50,0,22,16,7,7,101,15,0,0,23,24,16,19,5,14,87,9
0,40,30,64,5,10,10,15,39,19,21,5,57,12,4,9,56,80,55,15,0,38,0,17,8,0,16,11,30,0,79,0,0,13,18,16,4,0,16,16,8,33,7,12,29,67,22,45
0,62,120,36,9,30,91,139,18,46,57,23,15,127,43,83,0,0,7,13,178,0,0,25,23,0,0,12,18,11,47,0,3,84,647,64,58,33,22,0,32,12,0,42,64,20,0,0
46,9,12,0,26,25,10,40,14,60,0,0,18,18,6,0,105,71,27,78,243,244,40,28,38,0,0,5,36,157,79,46,48,5,202,69,4,0,7,32,6,4,4,17,14,0,0,28
102,0,0,51,0,0,17,67,19,7,0,82,0,0,22,54,38,4,0,57,10,14,10,16,7,54,0,56,67,161,6,38,9,0,87,133,92,8,3,3,22,51,23,0,73,130,10,5
0,13,0,9,21,95,37,19,15,9,0,64,8,9,20,82,88,56,0,7,125,187,12,0,13,0,0,13,12,5,64,46,13,79,40,29,0,72,28,269,16,17,35,22,31,124,52,29
0,47,21,0,260,0,13,0,14,85,19,9,0,0,0,5,38,0,22,32,0,13,24,0,7,20,0,0,0,182,0,121,15,0,0,206,15,29,43,17,10,26,0,4,6,0,52,5
40,35,77,19,44,26,0,0,0,0,0,152,9,0,0,9,0,3,0,0,0,5,0,0,4,103,28,16,0,49,7,7,20,118,0,0,5,0,0,27,16,26,28,0,0,0,0,87
30,3,0,14,15,0,10,16,0,9,17,18,5,5,0,82,7,0,0,11,0,6,10,0,67,0,0,0,102,9,0,0,10,8,4,24,155,90,5,0,55,188,212,0,43,29,0,13
30,66,25,39,114,0,0,0,108,21,3,0,35,0,0,99,29,21,19,8,8,15,31,25,0,0,3,0,4,0,8,80,13,0,0,0,0,0,4,6,10,0,8,46,6,33,8,28
0,0,38,17,0,0,0,0,20,10,32,9,41,13,36,0,8,0,28,103,0,167,0,0,37,56,25,0,12,0,0,19,0,11,83,0,92,210,0,0,0,36,11,14,0,21,0,8
49,0,13,37,23,0,0,12,0,0,23,0,0,10,10,0,0,21,140,16,0,0,0,0,0,21,13,3,6,99,19,112,0,0,0,0,76,7,4,0,0,6,51,21,0,0,69,34
5,9,0,9,30,19,13,6,0,0,43,16,0,0,0,12,3,56,7,73,0,3,0,0,5,5,25,5,0,31,19,0,80,156,30,0,0,61,0,4,0,7,0,7,25,44,0,6
45,0,21,0,0,0,6,11,29,13,6,25,9,19,5,0,0,30,0,0,0,3,0,12,18,20,8,31,63,334,7,81,43,68,0,0,11,59,0,19,8,116,0,20,12,29,0,0
0,24,0,100,3,0,0,382,94,16,0,21,37,0,168,0,15,6,62,7,10,0,0,0,42,15,16,30,6,41,19,59,12,53,16,32,0,7,12,70,122,41,8,0,0,0,28,0
21,4,0,0,0,5,0,0,0,4,4,6,0,0,0,0,0,6,130,3,0,11,0,0,5,4,0,6,160,37,3,7,0,0,10,5,0,0,13,111,5,0,0,0,0,0,21,0
9,17,12,13,0,63,44,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,9,0,0,25,0,0,48,0,0,0,0,0,0,10,13,0,0,26,4,10,8,0,0,0,0
82,0,0,0,16,0,0,0,7,0,0,14,22,0,17,0,3,89,17,0,7,13,0,4,0,24,24,13,4,0,0,73,0,0,0,0,12,0,0,38,0,6,0,0,4,0,0,4
10,0,3,0,0,216,35,0,0,76,16,0,7,4,40,149,20,21,7,0,0,14,0,0,0,0,40,6,53,6,10,8,0,0,29,6,0,0,4,0,19,17,0,5,27,6,0,26
254,0,34,13,11,23,26,25,6,37,45,13,3,0,7,6,13,18,0,0,0,0,0,20,7,0,11,18,0,0,0,5,0,44,0,5,17,0,177,0,17,34,11,0,110,29,0,30
15,3,8,12,25,3,0,0,82,53,0,0,41,12,0,7,0,0,0,0,15,60,5,5,22,29,156,19,11,0,26,0,7,23,83,49,12,19,0,23,56,10,0,22,0,13,12,0
0,121,19,0,33,10,54,8,67,5,8,52,28,34,35,0,112,29,41,16,34,62,0,0,45,9,0,76,18,9,12,9,0,37,0,0,0,0,0,0,0,6,0,119,0,0,0,39
17,77,36,4,54,3,32,0,12,9,4,13,4,11,0,10,7,0,6,15,7,27,60,6,6,4,24,14,45,0,0,9,238,112,0,8,68,38,0,21,0,0,6,0,0,8,30,0
16,0,13,0,6,18,0,0,14,49,0,10,47,16,26,34,6,5,12,0,15,17,0,11,3,0,16,5,33,11,0,0,55,31,0,0,8,0,0,66,17,9,13,9,0,0,14,4
20,31,24,5,11,10,9,0,35,104,12,6,126,51,0,4,0,17,0,7,0,15,0,0,53,0,7,3,28,0,0,0,0,0,28,0,0,71,4,9,3,15,0,12,17,60,21,35
47,0,51,22,35,63,156,0,12,13,55,0,47,54,22,17,0,0,11,52,0,35,53,0,0,62,122,0,20,0,0,0,0,4,0,82,20,6,0,38,0,17,31,0,0,5,55,16
22,0,0,0,0,0,0,0,0,0,121,34,0,13,353,13,0,0,0,6,0,0,0,0,7,136,31,7,5,0,0,24,10,0,0,0,0,4,0,13,24,24,13,19,12,11,13,0
8,0,0,0,36,4,0,11,49,11,26,31,5,0,13,7,176,27,9,52,128,47,0,49,105,0,0,0,0,9,7,0,68,12,40,41,10,20,74,0,25,0,0,0,0,5,10,22
47,0,106,0,0,14,68,4,0,30,99,23,66,91,9,20,9,0,11,11,0,301,162,94,11,0,10,40,47,11,0,34,16,18,15,4,20,0,0,23,17,21,28,26,24,11,0,0
385,36,12,0,0,0,8,11,26,0,4,0,3,5,19,63,0,26,13,65,167,0,11,22,108,30,0,0,16,17,6,0,0,36,0,0,0,0,21,0,0,8,0,36,17,0,8,15
0,0,38,5,0,0,40,13,10,0,0,23,11,9,76,5,50,0,5,0,0,0,0,35,22,0,7,0,0,22,5,0,0,13,0,8,88,0,11,0,51,70,0,0,0,184,0,0
